 ,Area,Mean,Min,Max,Angle,Length
831,4.005,1050.967,830.5,1213.4,+AC0-84.289,8.778
832,3.624,1024.044,857,1158.479,+AC0-173.29,7.67
833,4.577,903.472,748.555,966.115,+AC0-100.305,10.052
834,5.531,927.529,825.331,976.752,164.055,12.437
835,2.861,1032.63,923,1107.116,+AC0-94.399,5.97
836,2.479,1043.786,963.002,1108.333,+AC0-9.462,5.273
837,2.289,1011.773,899.557,1083.518,+AC0-174.806,4.679
838,2.861,998.866,902.333,1083.664,+AC0-90,6.114
839,4.768,1108.249,876.667,1230,+AC0-104.621,10.278
840,3.624,1145.413,1016.556,1233.333,+AC0-22.38,8.029
841,3.433,1040.303,917.039,1162.157,+AC0-110.556,7.276
842,3.433,1065.105,980.69,1156.547,162.646,7.365
843,4.196,1064.274,972.833,1199.16,+AC0-76.608,9.321
844,2.479,1070.3,953.333,1149.249,+AC0-165.964,5.261
845,4.005,1028.707,915.221,1120.273,+AC0-78.111,8.622
846,3.051,1047.495,914.112,1122.454,+AC0-167.905,6.538
847,4.959,956.073,749,1037.533,+AC0-62.447,11.133
848,4.196,929.929,777.882,1041.129,+AC0-144.782,9.142
849,4.196,1040.122,922.702,1171.459,+AC0-70.71,9.069
850,3.242,1026.062,902.222,1167.333,+AC0-154.983,7.161
851,4.386,960.494,783,1080.154,+AC0-62.241,9.506
852,4.386,999.504,812.111,1146.153,+AC0-155.772,9.731
853,3.242,919.267,745.001,1048.388,+AC0-90,6.848
854,2.67,902.088,747.231,1038.077,167.005,5.795
855,2.479,924.539,823.001,1000.667,+AC0-75.964,5.402
856,2.861,944.971,851.667,1013.487,+AC0-167.005,5.968
857,2.098,898.432,777.667,992.034,+AC0-131.186,4.437
858,2.479,897.17,793.222,964.37,138.366,5.163
859,2.67,818.698,700.001,902.643,+AC0-61.39,5.742
860,2.098,829.502,683,874.831,33.69,4.569
861,6.484,1013.032,912,1159.234,+AC0-17.354,14.593
862,6.866,1039.507,974.048,1127.161,+AC0-115.821,15.234
863,5.721,1093.531,968.001,1164.067,+AC0-99.782,12.591
864,6.484,1082.444,951,1170.983,+AC0-3.468,14.583
865,4.386,932.511,801.303,1019.192,+AC0-116.565,9.765
866,4.577,918.191,826.001,987.223,+AC0-28.811,9.961
867,3.242,1006.177,918.918,1070.797,+AC0-108.435,7.043
868,2.861,980.215,858.061,1059.643,+AC0-114.775,6.308
869,2.67,979.026,925.167,1047.72,+AC0-141.34,5.852
870,3.051,984.319,930.75,1034.289,+AC0-58.392,6.423
871,2.861,1026.434,936.5,1118.489,+AC0-21.038,6.164
872,3.242,1016.729,916.5,1080.75,+AC0-25.017,7.139
873,4.005,1050.003,858.75,1204.04,+AC0-98.973,8.652
874,4.196,1050.618,958.756,1158.977,158.199,9.306
875,4.768,888.495,796.236,979.323,+AC0-97.431,10.315
876,4.768,828.252,657.667,934.056,177.614,10.345
877,4.196,805.056,690,912.633,+AC0-104.036,9.003
878,3.433,816.262,719,858.078,+AC0-3.18,7.575
879,3.242,805.034,729,878.417,+AC0-119.745,6.79
880,3.242,815.719,673,886,+AC0-34.695,6.989
881,2.861,814.604,773.333,870,+AC0-81.87,6.198
882,2.861,805.441,726.669,862.055,12.095,5.911
883,6.484,718.454,626,775.493,+AC0-107.354,14.577
884,7.819,724.073,617.72,801.84,+AC0-10.176,17.304
885,6.866,653.458,528.5,783.398,+AC0-124.592,15.081
886,6.103,724.903,630,785.195,+AC0-16.699,13.617
887,3.433,1218.19,1053.375,1302.625,+AC0-72.646,7.321
888,4.196,1147.608,994.5,1260.667,+AC0-174.56,9.085
889,3.814,1108.352,991.125,1281.882,+AC0-78.111,8.479
890,2.67,1109.875,998.5,1210.761,12.995,5.696
891,4.196,1279.252,991.333,1444.784,+AC0-84.289,8.956
892,3.624,1281.046,1080.667,1372.434,180,7.715
