 ,Area,Mean,Min,Max,Angle,Length
56,3.051,946.647,893.235,1035,+AC0-156.801,6.51
57,2.479,978.538,793,1063.111,+AC0-59.036,5.093
58,2.67,1015.211,855.667,1136.963,38.66,5.593
59,2.861,1111.741,992,1153.556,+AC0-90,6.114
60,3.624,1105.211,968,1209.074,153.435,7.952
61,4.386,899.211,804,963.093,+AC0-113.199,9.787
62,4.959,922.965,787.246,988.734,146.31,10.901
63,2.861,1010.753,861.222,1070.476,+AC0-111.038,6.169
64,3.814,954.787,778.434,1073.271,147.995,8.089
65,2.289,1133.776,1033,1250.599,+AC0-68.199,4.703
66,3.051,1085.81,967.5,1224,14.931,6.727
67,2.479,1030.76,844.5,1112,+AC0-63.435,5.079
68,2.861,1023.688,904.5,1114,36.027,5.94
69,5.912,806.611,680,892.791,+AC0-103.57,13.028
70,6.675,811.819,540,897.298,148.173,14.906
71,6.484,719.882,606,847,+AC0-90,14.848
72,7.819,713.134,617,765.57,168.408,17.386
73,4.959,777.758,575,878.2,+AC0-87.709,10.926
74,4.959,797.269,619,906.36,161.565,11.048
75,4.386,707.754,535,789.157,+AC0-140.528,9.618
76,5.149,678.542,526,783.272,130.365,11.463
77,3.814,860.547,773.759,924.596,+AC0-62.103,8.4
78,4.577,813.366,646.038,923.798,28.811,9.968
79,3.051,1073.567,786,1158.742,+AC0-148.392,6.666
80,4.577,1095.477,939,1215.722,127.875,9.958
81,3.433,1089.059,965,1185.779,+AC0-107.354,7.321
82,4.386,1082.3,954,1212,149.931,9.588
83,2.289,1336.765,1158,1467.818,+AC0-135,4.958
84,4.768,1281.971,1061.667,1476.204,152.354,10.55
85,4.005,1169.185,1006.333,1329.47,+AC0-101.889,8.686
86,4.005,1126.641,936.111,1240.7,149.534,8.739
87,2.861,1189.032,1021,1273.429,+AC0-102.095,6.002
88,3.814,1113.115,808.667,1277.895,147.995,8.24
89,4.196,929.325,833.556,968.993,+AC0-138.814,9.266
90,5.34,966.684,816.444,1048.735,119.476,11.736
91,3.242,1011.882,947,1072.667,+AC0-165.964,7.202
92,3.433,984.403,830,1041.739,109.44,7.642
93,3.242,1001.165,868.889,1142.667,21.801,7.191
94,3.433,997.315,939.333,1074.333,107.354,7.365
95,4.577,1116.914,1078.889,1193.911,+AC0-105.255,9.958
96,4.386,1040.153,871.444,1126.99,153.435,9.765
97,4.005,957.054,904.64,1040.56,29.055,8.855
98,4.386,958.585,832.667,1105.293,116.565,9.506
99,3.242,1061.021,941.111,1137.222,+AC0-75.964,7.202
100,3.242,1031.287,974,1085.333,28.072,7.161
101,3.051,1179.677,1034.667,1252.973,+AC0-75.069,6.639
102,3.242,1181.359,957,1250.667,26.565,6.902
103,3.624,1097.288,987,1183.163,+AC0-109.44,7.839
104,4.005,1052.298,962.778,1128.48,148.57,8.888
105,3.433,1064.094,1040.588,1114.02,+AC0-47.291,7.423
106,3.814,1070.436,1016,1105.998,45,8.235
107,3.814,1016.994,943.667,1116.348,+AC0-83.66,8.199
108,3.624,983.42,857.333,1039.956,157.62,7.952
109,4.005,868.026,844.4,882.956,+AC0-84.289,8.754
110,3.242,830.061,732.667,883.167,172.875,7.042
111,3.242,802.394,743.333,846.417,+AC0-104.036,7.137
112,3.242,776.627,689.089,825,147.265,7.191
113,2.861,1005.507,901,1059.286,+AC0-90,5.896
114,2.67,1000.675,881.5,1049.047,161.565,5.524
115,2.67,1060.11,1001.615,1114.385,+AC0-85.601,5.715
116,3.242,1032.728,775.25,1189.625,7.125,7.042
117,3.433,1098.92,978,1213.775,+AC0-60.255,7.232
118,3.433,1072.61,959,1163.474,20.556,7.462
119,4.196,1004.748,926.007,1047.735,+AC0-119.055,8.992
120,4.386,938.166,840,1018.996,144.162,9.697
121,2.67,1062.857,1012,1108.059,+AC0-138.013,5.875
122,3.814,1048.329,838,1110.067,128.66,8.389
123,4.196,1088.734,989,1173.619,87.274,9.181
124,4.196,1061.532,966.571,1125.571,19.29,9.254
125,3.814,1131.061,1038.053,1178.684,+AC0-86.987,8.309
126,3.242,1090.809,958.75,1174,+AC0-14.036,7.202
127,3.624,907.807,757.556,1053.667,+AC0-60.642,8.017
128,4.196,932.459,833,1104.857,41.186,9.285
129,4.577,939.449,871,1025.435,+AC0-97.431,10.129
130,4.768,909.468,810.045,996,143.616,10.307
131,2.67,806.608,721,870.089,+AC0-94.399,5.83
132,3.433,812.154,773.333,852.387,163.61,7.642
133,3.433,807.623,770.778,842.388,+AC0-93.366,7.302
134,4.386,845.502,781.048,940.421,166.608,9.537
135,3.051,1108.554,1009.333,1222.56,+AC0-97.595,6.753
136,3.814,1021.508,918.667,1111.75,161.565,8.383
137,4.196,883.09,793,958.308,+AC0-104.036,9.003
138,5.531,851.741,742,947.707,160.907,12.015
139,3.051,1004.25,916,1046,+AC0-90,6.987
140,4.196,955.494,792,1147,174.56,9.212
141,4.386,1191.186,1098,1254,+AC0-82.235,9.697
142,4.386,1184.467,1036,1271.769,13.392,9.427
143,3.242,991,833,1070,+AC0-90,7.424
144,3.242,954.555,791.25,1091.75,+AC0-10.62,7.109
145,3.242,1066.522,975,1133.562,+AC0-93.576,7.001
146,4.005,1028.465,893,1081.5,162.474,8.701
147,4.959,980.149,856,1066.28,53.13,10.918
148,4.768,919.455,802.189,998.122,135,10.499
149,4.005,774.266,566.111,942.96,+AC0-122.905,8.888
150,4.959,771.011,681.667,888.213,139.899,10.928
151,3.433,780.129,690,854.765,+AC0-111.801,7.302
152,3.433,792.872,653.111,967.34,149.036,7.592
153,3.624,607.047,544.556,707.494,+AC0-128.157,7.686
154,6.103,587.299,443,686.333,149.349,13.581
155,4.005,658.755,603.969,692.687,75.256,8.758
156,4.386,675.667,637.333,724.222,161.565,9.483
157,3.814,1468.525,1352.024,1580.757,153.435,8.463
158,3.051,1485.22,1340.667,1572.711,74.055,6.639
159,3.242,1449.739,1301.111,1544.222,90,6.987
160,4.196,1465.369,1352,1545.767,174.289,9.067
161,3.242,1558.966,1458.111,1591.333,127.569,6.871
162,3.242,1511.83,1377.778,1604.764,+AC0-172.875,7.042
163,2.289,1542.11,1436.333,1589.554,119.055,4.694
164,2.67,1517.143,1389.333,1578.538,41.987,5.779
165,1.907,1547.556,1507.305,1591.011,+AC0-159.444,4.055
166,2.289,1522.344,1389.333,1599.091,127.875,4.958
167,2.861,1480.248,1355.5,1525.75,+AC0-53.973,6.071
168,2.67,1453.703,1338,1539.796,51.34,5.765
169,2.479,1400.183,1275.5,1462.875,+AC0-104.036,5.402
170,2.67,1370.911,1260.5,1448.706,145.008,5.459
171,2.479,1345.052,1280,1382.778,95.194,5.041
172,2.479,1307.054,1208.417,1373.667,175.236,5.259
173,3.242,1274.544,1139.778,1367.153,86.424,6.993
174,2.67,1227.628,1179.333,1278.405,+AC0-17.103,5.801
175,2.479,1183.924,1012.556,1243.333,109.983,5.353
176,2.67,1157.915,990,1247.698,26.565,5.47
177,2.289,1120.826,1075,1151.78,94.764,4.958
178,2.861,1108.585,1009.778,1166.444,180,6.114
179,2.479,968.103,886,1026.667,80.538,5.368
180,2.67,978.87,919.333,1012.187,157.38,5.735
181,2.098,1048.648,940.333,1110,78.69,4.454
182,3.242,1026.985,875.667,1103,153.435,6.772
183,3.051,1070.378,1008.778,1130.365,98.13,6.464
184,4.005,1035.762,896,1138.5,168.69,8.855
185,3.051,1066.163,1033.616,1114,93.814,6.721
186,3.242,1017.272,853,1089.972,172.875,7.042
187,4.577,873.519,725,1019.652,90,9.899
188,5.912,867.075,698,986,170.218,13.02
189,4.959,889.526,791.111,973.16,83.157,11.124
190,5.912,884.808,752.859,951.756,150.018,13.291
191,3.433,865.234,741,975.355,113.629,7.423
192,3.051,913.22,792.333,964.267,39.806,6.601
193,4.196,697.819,658,732.778,64.654,9.114
194,3.814,701.576,494.333,792.383,147.995,8.24
195,3.814,777.167,731.778,820.945,51.34,8.276
196,2.861,741.502,698.667,780.116,131.987,6.002
197,3.242,1259.915,1160.889,1299.333,93.576,6.993
198,3.814,1221.507,847,1350.272,18.435,8.11
199,3.433,1126.518,1069.889,1184.54,100.62,7.371
200,2.861,1113.737,1029.333,1182.333,+AC0-171.87,6.176
201,2.67,952.025,873.286,1037.265,57.529,5.493
202,2.861,955.738,905.66,999.635,153.435,6.121
203,2.289,1018.073,936.333,1054.941,74.745,4.802
204,3.242,998.17,928.771,1043.49,159.444,7.191
205,2.861,1073.825,1024.952,1102.857,77.905,6.224
206,3.242,1033.6,957.333,1090.59,148.392,6.945
207,2.289,1226.163,1181.161,1299.708,135,4.941
208,2.098,1209.802,1161.289,1258.907,+AC0-135,4.529
209,3.051,1033.774,916.778,1107.926,126.87,6.639
210,3.433,1121.868,1061.667,1192.301,45,7.208
211,3.433,908.849,804.667,949.706,132.51,7.208
212,3.242,921.084,859.667,954.583,42.51,6.797
213,2.861,965.302,880.778,1032.762,129.289,6.19
214,2.67,973.625,912.333,998.43,36.027,5.823
215,2.479,1115.334,1028,1180.963,+AC0-65.556,5.208
216,2.861,1121.385,1006.667,1178.603,8.13,6.176
217,3.051,863.586,734.01,961.001,19.654,6.543
218,3.242,818.601,623,888.667,115.017,7.036
219,3.051,870.155,828,900.889,74.055,6.445
220,3.814,888.299,779,967.153,150.642,8.089
221,1.907,1116.342,1021.667,1166.148,90,4.076
222,2.098,1046.691,887.333,1122.6,180,4.377
223,2.479,1222.237,1149.333,1300.5,59.036,5.093
224,2.861,1214.727,1101,1289.667,+AC0-41.987,5.974
225,2.861,971.467,890.667,1020.143,81.87,6.142
226,2.861,946.759,842,999.556,155.225,6.271
227,2.861,1075.752,1032.333,1132.381,102.095,6.224
228,1.907,1073.211,935.333,1132.296,180,4.076
229,2.67,1085.374,930.333,1203.256,141.34,5.779
230,3.051,1055.2,932,1136.578,50.194,6.601
231,2.67,1058.687,955.222,1123.849,94.764,5.562
232,3.051,1006.874,812.333,1116.422,168.69,6.51
233,2.67,946.808,853,998.274,108.435,5.623
234,3.624,922.997,759.556,1060.458,+AC0-170.538,7.708
235,2.67,939.678,878.667,975.069,112.62,5.47
236,2.67,925.314,811.333,998.73,38.66,5.593
237,3.242,1009.663,771.778,1137.5,79.38,6.797
238,4.196,997.185,682.667,1142.769,150.945,8.992
239,2.479,1105.333,1064.812,1150.406,70.017,5.19
240,3.242,1071.164,975,1128.898,142.431,7.032
241,3.242,1062.906,802.5,1244.787,78.69,6.895
242,3.814,1088.699,974.25,1182.479,+AC0-17.526,8.429
243,1.907,988.489,911,1057.389,+AC0-90,3.936
244,2.861,991.072,894.25,1060.556,162.897,6.214
245,2.289,904.585,824.25,950.773,+AC0-95.194,4.824
246,2.67,892.521,789.5,945.296,161.565,5.669
247,2.861,770.792,635.5,820,126.027,6.245
248,2.861,752.91,592,831.286,41.987,6.184
249,2.289,1184.209,1130,1245.95,+AC0-106.699,4.833
250,3.051,1197.257,1123.013,1262.747,132.274,6.641
251,2.289,1226.728,1073,1297.859,+AC0-111.801,4.789
252,2.67,1214.045,1167,1255.55,138.013,5.567
253,3.242,742.651,676,801,60.255,7.042
254,3.624,652.102,460,733.444,135,8.029
255,3.433,647.754,566,689.758,61.928,7.424
256,4.196,622.831,480,702.739,140.906,9.003
257,3.433,874.405,813,906.765,125.538,7.513
258,3.814,856.801,738,956.729,+AC0-147.995,8.24
259,3.242,1197.504,1164,1244.391,124.695,6.905
260,3.814,1194.392,1067.307,1279.125,34.509,8.479
261,2.861,1327.542,1200,1375.98,+AC0-68.962,6.083
262,3.814,1314.119,1186.296,1414.039,36.254,8.123
263,4.768,1200.283,1145.944,1241.444,+AC0-55.008,10.661
264,3.624,1169.516,1049,1245.333,+AC0-146.31,7.873
265,4.577,1096.344,1042,1167.372,+AC0-55.62,10.054
266,5.721,1058.88,954,1111.298,36.469,12.49
267,3.242,1050.743,971,1097.375,+AC0-82.875,7.042
268,5.149,1122.04,918,1307.615,175.601,11.388
269,3.433,931.353,845,969.588,+AC0-76.759,7.627
270,4.196,913.013,831,965.286,+AC0-171.87,9.264
271,3.242,1087.658,1021.125,1232.25,+AC0-93.576,7.001
272,3.814,1001.739,901,1061.474,168.111,8.479
273,2.479,952.096,885,1002,+AC0-48.366,5.259
274,4.005,949.449,805,1070.04,45,8.646
275,4.196,1016.915,873,1129.082,+AC0-60.945,8.992
276,3.242,967.447,916,1042.688,31.608,6.783
277,5.34,684.877,600,773.646,124.287,11.628
278,3.814,680.596,616,738.222,34.509,8.479
279,5.34,766.368,672.333,818.889,90,11.646
280,6.484,743.006,619.813,843.005,169.38,14.275
281,3.433,1062.505,979.222,1133.667,0,7.57
282,3.242,1113.363,1049.5,1179.333,86.424,7.012
283,4.005,1078.457,880.222,1185.867,132.879,8.656
284,3.433,1059.309,827,1162.651,+AC0-130.236,7.457
285,6.484,782.046,661,937.389,136.219,14.417
286,6.484,675.832,566.356,743.704,+AC0-158.839,14.381
287,3.242,1558.449,1433.667,1612.792,+AC0-72.646,7.09
288,2.67,1543.182,1392.667,1667.634,+AC0-171.254,5.888
289,3.242,1406.559,1272,1453.917,+AC0-75.964,7.202
290,2.861,1365.905,1235,1481.286,8.13,6.176
291,2.67,1158.262,1092.333,1189.98,+AC0-57.529,5.493
292,2.67,1160.491,1066.778,1208.215,+AC0-158.962,5.895
293,3.051,1056.918,1018.222,1115.19,+AC0-53.13,6.639
294,2.289,1060.136,1004.05,1140.182,+AC0-146.31,4.694
295,1.907,1619.353,1509,1663,+AC0-108.435,4.079
296,2.098,1620.045,1542,1681.537,139.399,4.334
297,2.098,1463.668,1410.5,1499.4,+AC0-45,4.48
298,2.289,1451.662,1391,1507.636,33.69,4.724
299,2.479,1221.923,1028.667,1302.333,+AC0-55.008,5.249
300,2.67,1194.146,995,1291.229,32.471,5.653
301,2.861,794.352,725.857,866.762,+AC0-90,6.121
302,3.624,851.616,774.224,910.568,160.56,7.92
303,2.67,1036.856,937.333,1133.446,+AC0-63.435,5.6
304,2.861,997.687,859.667,1109.821,39.289,6.231
305,2.861,1318.451,1119,1402,+AC0-65.225,6.121
306,3.051,1258.196,973.111,1391.84,50.711,6.412
307,3.242,1166.632,1086.035,1220.5,+AC0-45,6.999
308,2.861,1142.755,990,1230.327,50.711,6.002
309,4.196,1218.759,1166.939,1342,+AC0-54.782,9.087
310,4.959,1168.519,1029.482,1206.04,21.371,10.786
311,3.242,1087.021,995.222,1148.667,+AC0-58.392,6.79
312,2.479,1083.444,945.667,1139.333,45,5.151
313,2.67,1007.889,871.444,1093.368,+AC0-51.34,5.593
314,2.67,1008.543,949.085,1080.769,+AC0-135,5.562
315,2.67,1074.592,916.333,1204.964,+AC0-67.38,5.735
316,2.67,1060.193,874.667,1171.11,+AC0-161.565,5.623
317,3.814,1416.731,1298,1535.177,+AC0-143.746,8.123
318,4.005,1348.665,1263,1444.2,120.466,8.613
319,2.67,1211.593,1147,1277.923,+AC0-102.995,5.826
320,3.433,1146.986,1096.661,1223.626,154.983,7.229
321,3.814,728.342,630,770.947,+AC0-86.987,8.309
322,4.577,716.857,636,780.652,+AC0-177.51,10.054
323,3.814,738.5,639,809,+AC0-90,8.734
324,3.242,736.761,607.625,863,+AC0-176.424,7.001
325,4.005,693.286,631,738,+AC0-90,9.171
326,4.196,649.422,575,718.143,169.216,9.336
327,3.242,940.074,797,1048.5,+AC0-97.125,7.042
328,3.433,930.85,853,983.55,156.371,7.627
329,2.861,929.454,797,985,+AC0-56.31,6.298
330,3.242,915.12,837.703,951.34,+AC0-145.305,6.905
331,3.051,1014.744,972,1059.6,+AC0-74.055,6.359
332,3.051,1032.688,960,1099,180,6.987
333,3.242,1083.822,1025,1118,+AC0-132.51,7.109
334,4.577,1071.411,1008.885,1112.845,131.424,9.901
335,3.814,802.797,664,877.053,+AC0-86.987,8.309
336,4.577,785.462,615,876.255,167.196,9.853
337,4.768,730.718,630,811.535,+AC0-65.556,10.554
338,4.196,752.483,608,831.857,19.29,9.254
339,4.196,695.5,609,762,+AC0-92.726,9.181
340,5.149,681.458,636.515,742.464,166.504,11.228
341,4.959,871.563,816.6,934,+AC0-113.499,10.953
342,5.721,925.889,795,1012.194,136.397,12.665
343,3.242,897.119,754,995.333,+AC0-63.435,6.902
344,3.814,901.751,698,1008.094,+AC0-153.435,8.463
345,2.289,1595.084,1494.333,1696.016,+AC0-79.695,4.983
346,2.289,1534.569,1424.444,1612.514,+AC0-174.806,4.667
347,3.242,1668.893,1634.667,1696.427,+AC0-66.801,6.772
348,2.67,1630.398,1546.444,1699.273,+AC0-147.529,5.493
349,2.67,1134.175,907,1229.669,+AC0-108.435,5.524
350,2.861,1181.083,1007,1261.878,155.225,6.253
351,2.098,1001.273,890,1069,+AC0-90,4.804
352,3.433,965.18,837.059,1092.235,173.29,7.475
353,3.242,861.474,690,972.75,+AC0-93.576,7.001
354,3.242,846.794,591,953,165.964,7.202
355,3.051,888.967,801,967.76,+AC0-66.801,6.652
356,3.051,903.344,838,933.24,+AC0-151.699,6.448
357,2.479,1185.885,1115,1255,+AC0-104.036,5.402
358,3.624,1105.665,950,1257.568,153.435,7.812
359,4.196,650.052,588.095,708.048,+AC0-92.726,9.181
360,4.768,636.403,546,676.75,155.556,10.554
361,3.242,694.814,595,790.75,+AC0-111.801,7.055
362,4.768,697.526,498,819.583,141.71,10.572
363,5.34,1011.327,875.222,1071.742,21.801,11.79
364,4.768,996.302,946.333,1050.58,117.646,10.416
365,2.67,1140.26,1013.222,1208.575,+AC0-63.435,5.859
366,2.67,1153.368,1060,1191.136,34.992,5.493
367,2.861,1163.5,1104.626,1216.292,50.711,6.231
368,3.051,1127.268,1009.667,1215.844,132.274,6.385
369,2.861,1098.202,1025.667,1185.059,39.289,6.002
370,3.814,1101.297,933.053,1207.956,143.13,8.503
371,2.479,1071.825,951.333,1114.241,+AC0-108.435,5.249
372,2.67,1052.771,965.333,1143.304,147.529,5.493
373,3.051,1031.872,982.665,1106,+AC0-109.654,6.721
374,2.67,1035.881,944,1091.769,138.013,5.779
375,3.433,661.998,555,728.028,+AC0-113.629,7.627
376,4.577,670.034,553.822,785.938,136.736,10.195
377,2.861,1002.733,887,1045,+AC0-90,6.551
378,3.624,971.124,881,1035.5,163.61,7.738
379,2.289,1102.679,983,1152.744,+AC0-116.565,4.883
380,3.242,1091.829,997,1136,140.194,6.822
381,3.433,916.052,731,1003.412,86.634,7.437
382,2.861,897.8,577,1054,180,6.551
383,4.768,692.483,612.667,852,+AC0-112.249,10.38
384,5.721,676.571,600,784.455,149.036,12.732
385,4.386,753.054,649.182,856.909,+AC0-120.069,9.588
386,5.34,713.156,640,765.333,146.889,11.992
387,4.386,819.298,753.289,904.562,111.801,9.407
388,5.34,854.089,782,951.984,+AC0-167.005,11.653
389,4.196,701.208,641.333,766,95.44,9.212
390,4.386,740.665,659.818,843.479,15.945,9.538
391,4.959,641.25,603.104,707.6,+AC0-66.501,10.953
392,3.814,614.931,584.069,636.67,+AC0-147.995,8.24
393,6.294,837.972,753.687,951,102.724,13.879
394,6.294,781.966,707,857.898,+AC0-151.821,13.872
395,4.196,802.644,560,989.184,129.094,9.003
396,3.814,777.195,707,809.479,21.251,8.434
397,4.577,870.016,594,988.558,120.964,10.186
398,5.912,935.944,813,1048.36,46.332,13.175
399,5.149,769.867,615,865,128.66,11.185
400,4.959,760.338,631,909.076,+AC0-133.452,11.124
401,3.814,749.376,506,964,117.897,8.4
402,5.531,822.561,715.209,985.684,+AC0-163.496,12.298
403,2.67,1144.048,1027,1203.728,+AC0-112.62,5.677
404,3.624,1184.469,1106.426,1248.796,132.709,7.726
405,3.051,1443.962,1126,1628.8,86.186,6.565
406,3.051,1423.674,1269,1520.827,164.055,6.359
407,2.67,965.01,898,997.564,135,5.562
408,2.289,951.169,890.889,997.303,+AC0-138.814,4.958
409,4.386,918.704,632.455,1156.636,46.848,9.479
410,4.768,888.704,712.333,1132.161,155.556,10.416
411,3.814,968.315,816,1089.258,117.897,8.4
412,3.433,909.041,727,991.796,35.538,7.513
413,3.814,795.116,713,879.632,98.973,8.4
414,4.768,754.547,662.469,825.167,165.379,10.38
415,3.242,810.228,720,927.125,100.62,7.109
416,3.814,761.121,712.211,809.895,+AC0-168.111,8.479
417,3.814,1230.131,1127,1299.623,105.524,8.158
418,3.051,1271.321,1164,1360.8,+AC0-160.346,6.492
419,2.861,1154.847,1084,1197.551,129.289,6.207
420,2.289,1160.623,1093,1204.006,+AC0-123.69,4.603
421,1.907,1205.604,1144.667,1241.469,+AC0-116.565,3.906
422,2.479,1175.339,1080.778,1231.056,135,5.151
423,2.098,1166.038,1085.111,1230.444,+AC0-106.699,4.239
424,2.289,1189.661,1113.889,1253.798,146.31,4.603
425,2.098,1255.97,1211,1302.222,+AC0-90,4.367
426,2.861,1215.558,1142,1268.937,175.914,6.121
427,4.635,1753.548,1399.333,2175,+AC0-42.614,12.371
428,4.106,1724.828,1554.556,1835,+AC0-137.726,11.001
429,5.165,1625.349,1258.876,1822.609,+AC0-79.287,13.801
430,4.503,1598.135,1206.333,1690.667,+AC0-26.565,11.935
431,3.973,1347.608,1216.591,1476.988,+AC0-114.775,10.421
432,3.841,1342.747,1182.434,1647.51,136.469,10.039
433,4.768,1380.766,1209,1560.4,+AC0-73.61,12.897
434,4.768,1330.237,1073.578,1700.269,41.496,12.633
435,3.708,1674.179,1201,1920,+AC0-90,10.19
436,3.973,1575.056,1147,1781.162,167.905,10.421
437,5.695,1180.166,889,1345.571,+AC0-98.13,15.44
438,5.165,1298.36,1040.321,1765.917,158.199,13.719
439,4.768,1711.142,1439,2086,+AC0-83.48,12.82
440,4.503,1549.261,900,1846.851,162.121,11.854
441,3.179,1756.432,1651.495,1859.255,+AC0-109.983,8.519
442,4.9,1650.64,1255,1927.139,172.093,13.227
443,3.973,1496.67,1139.655,1722.448,+AC0-95.906,10.61
444,4.9,1599.618,1284,2063,153.435,13.02
445,3.841,1506.193,1344.429,1746.286,+AC0-87.955,10.196
446,4.635,1577.165,1286,2023.837,162.646,12.201
447,4.503,1497.832,1268,1766.333,+AC0-83.089,12.097
448,4.9,1535.139,1231,1662.722,168.69,12.99
449,4.371,1599.386,1228,1954.75,+AC0-97.125,11.736
450,4.106,1474.201,1180,1696.12,162.759,11.05
451,3.046,1653.348,1406,1812,+AC0-90,8.37
452,4.238,1553.075,1034,1892.065,174.472,11.334
453,2.781,1654.262,1351,1879.95,+AC0-81.469,7.36
454,3.708,1539.952,1347,1701.593,169.509,9.993
455,4.106,1626.339,1282,1745.667,+AC0-91.909,10.924
456,4.371,1634.849,1318.832,1772.719,161.565,11.508
457,3.311,1552.16,1396,1768,+AC0-90,9.098
458,4.106,1616.96,1424.4,1941.587,162.759,11.05
459,4.106,1685.329,1462,1882.933,+AC0-86.186,10.942
460,3.708,1561.832,1317,1745.123,164.932,9.799
461,3.841,1821.067,1502,2177.381,+AC0-92.045,10.201
462,5.033,1743.626,1492.667,1917.533,161.075,13.35
463,3.841,1795.245,1553.667,1935.762,+AC0-55.176,10.097
464,3.708,1842.451,1519,1990.408,46.469,9.956
465,5.827,1428.307,1240,1534,+AC0-131.186,15.474
466,6.357,1458.653,1197.889,1621.756,127.117,16.983
467,3.179,1830.34,1643,1936.009,+AC0-115.463,8.465
468,3.046,1735.284,1312,1888.901,146.31,7.873
469,2.384,1847.445,1669,1924,+AC0-125.538,6.261
470,3.841,1871.61,1462,2067.973,132.138,10.306
471,3.708,1337.062,1145,1441.012,+AC0-72.897,9.9
472,3.841,1328.584,1213,1480,+AC0-175.914,10.216
473,3.179,1621.696,1476,1727.13,+AC0-92.49,8.378
474,3.841,1673.167,1343,2093.428,175.914,10.216
475,3.311,1424.52,1190,1576,+AC0-90,9.098
476,4.635,1533.674,1296,1773.471,176.634,12.395
477,3.311,1781.023,1612,1884,+AC0-87.614,8.742
478,3.443,1704.679,1380,1808.395,154.44,9.278
479,2.649,1876.005,1499.556,2044.509,+AC0-90,6.793
480,3.576,1643.446,1241.179,1917.884,171.254,9.334
481,4.371,1631.939,1357.75,1967,+AC0-97.125,11.736
482,4.371,1617.038,1321,1799.656,158.199,11.759
483,3.708,1602.167,1332,1739,+AC0-87.879,9.833
484,5.165,1598.25,1308,1842.053,178.493,13.834
485,3.179,1398.995,1165,1592.739,+AC0-87.51,8.378
486,4.503,1429.629,894,1680.545,+AC0-178.264,12.015
487,5.033,1219.552,1102.333,1380.324,+AC0-90,13.586
488,4.9,1245.764,1109.222,1378.407,138.366,13.056
489,2.781,1620.714,1350,1689.333,+AC0-90,7.278
490,4.503,1475.524,1013.494,1865.121,158.199,11.984
491,3.973,1411.737,1230.556,1535.036,+AC0-67.834,10.452
492,4.238,1403.409,1227.362,1517.532,12.724,11.421
493,3.973,1217.905,858.333,1549.785,+AC0-91.975,10.686
