 ,Area,Mean,Min,Max,Angle,Length
1,3.242,1130.412,1023,1202,0,7.424
2,3.242,1129.294,912,1239,+AC0-90,7.424
3,2.861,1144.173,1075.25,1184.554,+AC0-94.086,6.118
4,3.433,1145.77,999,1223.177,176.634,7.453
5,4.196,1159.009,1064.333,1278.524,+AC0-92.726,9.181
6,5.34,1003.421,858,1105.963,169.509,11.992
7,4.959,880.538,789,994,+AC0-90,11.354
8,4.959,876.196,764,951.467,161.565,11.048
9,4.577,914.691,865.505,959.499,+AC0-72.35,10.082
10,4.386,954.6,821,1061.318,30.069,9.588
11,5.34,1069.136,980.111,1127.111,+AC0-87.879,11.799
12,4.386,1055.874,923,1113.405,158.199,9.407
13,2.861,1247.667,1134,1321.286,+AC0-94.086,6.129
14,3.624,1256.398,1070,1311.556,167.471,8.053
15,3.624,1242.211,1118,1314,+AC0-90,8.297
16,4.005,1218.581,967,1330.2,168.69,8.907
17,4.005,965.171,810,1064.2,+AC0-78.69,8.907
18,4.386,964.047,863,1046.182,177.397,9.618
19,2.67,1103.568,953,1181.237,+AC0-57.529,5.694
20,3.242,1066.902,956,1155.688,52.431,7.163
21,4.005,1293.88,1159,1366.56,+AC0-69.775,8.843
22,3.433,1333.487,1226,1409.235,6.71,7.475
23,3.814,1152.766,1017,1270.158,+AC0-83.991,8.343
24,3.814,1171.626,1036,1237.368,171.027,8.4
25,4.959,861.098,749,926.4,+AC0-78.232,10.706
26,5.34,855.357,776,931,180,12.228
27,2.861,1011.133,875,1132,+AC0-90,6.551
28,4.577,850.178,622,973.043,170.134,10.195
29,3.814,753.692,651,846.789,+AC0-83.991,8.343
30,5.721,767.616,631,854.207,170.218,12.851
31,3.433,736.167,631,779,+AC0-90,7.861
32,4.005,699.982,575,751.59,153.435,8.789
33,3.814,807.781,698,928,+AC0-53.746,8.123
34,3.433,747.384,667,840.246,59.036,7.639
35,4.196,855.513,745,945.714,+AC0-81.87,9.264
36,5.721,860.133,743,940,180,13.101
37,6.675,1115.542,1042.263,1231.131,67.249,14.68
38,6.484,1091.581,963,1163.405,154.983,14.458
39,4.196,1054.347,849,1166.082,+AC0-119.055,8.992
40,4.959,1060.781,788,1186.485,133.363,10.812
41,5.149,909.259,829,961,+AC0-90,11.791
42,6.103,880.683,642.104,1043.068,165.069,13.559
43,4.005,916.029,674,1079.8,+AC0-92.862,8.745
44,5.149,856.191,626,1057.737,155.376,11.529
45,3.242,1239.371,1187,1266.613,+AC0-145.305,6.905
46,3.814,1201.946,1090,1248.906,132.879,8.343
47,3.051,1054.786,972,1117.32,+AC0-105.945,6.359
48,4.005,1027.689,952.6,1090.5,149.534,8.613
49,2.479,1164,1037,1244,+AC0-90,5.677
50,3.242,1085.875,844,1202.625,7.125,7.042
51,3.051,948.342,844.111,1029.827,+AC0-109.654,6.445
52,4.196,895.732,700.333,1003.463,143.13,9.142
53,3.624,909.007,809.667,964.642,+AC0-135,7.823
54,4.005,935.032,782.444,1054.774,135,8.646
55,2.098,919.854,880.222,955.667,+AC0-66.038,4.434
